waypoint_id,x,y,z
143,34.1837,-85.0645,74.3902
144,25.9556,-82.5010,73.8678
145,23.1571,-83.0962,77.9903
146,18.3014,-80.0863,73.3134
147,15.3171,-79.3201,77.2683
148,18.1281,-79.7879,82.1662
149,15.1805,-80.0524,85.8460
150,10.9124,-79.8708,81.6785
151,9.0804,-80.6035,77.9028
152,7.2914,-79.2821,73.5318
153,-4.8577,-79.0012,74.3805
154,-4.9331,-79.2083,81.4523
155,-3.9859,-79.4209,84.5125
156,-4.8952,-79.9890,84.4792
157,-5.3101,-81.1746,81.9797
158,-5.3683,-81.4024,77.3867
159,-5.9802,-82.4867,74.1004
160,-7.8199,-94.1196,74.1425
161,-7.6888,-94.6485,77.4027
162,-7.1616,-94.1385,84.4770
163,-6.5412,-87.5856,88.2115
164,-5.5948,-88.3569,91.8457
165,-2.8982,-92.4476,88.8503
166,6.0390,-94.4503,90.5489
167,7.3272,-98.1681,81.7663
168,11.9703,-100.7097,82.5993
169,12.3453,-99.9351,85.9288
170,13.9516,-93.3750,84.3562
171,12.1122,-92.0621,87.6565
172,12.6721,-91.9706,91.1439
173,9.3958,-90.3742,94.2618
174,12.1572,-91.5215,93.7671
175,13.0129,-91.5226,93.7793
176,13.8634,-91.2251,94.1853
177,14.9820,-91.2177,94.3628
178,12.9837,-89.4652,91.1924
179,12.9231,-85.2336,87.1836
180,18.9374,-86.2359,90.8085
181,1.2663,-69.0839,84.9595
182,0.8206,-71.3909,82.4243
183,0.7774,-71.1258,81.3881
184,0.7167,-71.6452,79.5607
185,0.8119,-71.6513,74.5940
186,4.7047,-72.9788,74.2394
187,4.0273,-73.2566,81.8887
188,4.7156,-73.2633,82.7853
189,18.0874,-70.2365,72.1975
190,19.8897,-70.8407,72.1019
191,19.4865,-76.3586,74.2657
192,21.9781,-75.4913,72.5209
193,25.6409,-77.7487,76.4994
194,25.4370,-77.6237,82.4679
195,25.7037,-72.6917,85.7416
196,26.4118,-72.3747,84.5396
197,30.5887,-72.6939,81.6370
198,31.0875,-72.6940,77.3838
199,33.1800,-72.4299,74.5302
200,33.2321,-77.4088,74.5826
201,33.2409,-77.9354,81.3923
202,33.2114,-77.6641,82.4328
203,33.5968,-75.0294,84.7330
204,21.6548,-69.7969,75.1116
205,19.4703,-68.4009,74.9089
206,14.1994,-68.6739,75.1341
207,15.3903,-68.7672,74.0948
208,15.2532,-69.8743,72.4645
209,16.1901,-70.3447,72.0042
210,15.1886,-74.6059,72.2865
211,13.6200,-75.5356,74.5544
212,16.2529,-76.9297,75.0295
213,18.5302,-75.0254,71.9790
214,17.1320,-74.9599,71.7073
215,27.4862,-57.0794,73.8377
216,25.9230,-57.9182,74.6462
217,22.8978,-56.6187,73.8927
218,20.9204,-57.1937,74.8514
219,19.9280,-57.8270,74.5199
220,20.9568,-56.9507,77.7807
221,23.1950,-56.8015,79.1170
222,26.1837,-56.9147,78.5048
223,29.4891,-58.0395,79.4741
224,30.9514,-58.3038,79.3789
225,30.7875,-58.4127,74.8324
226,34.6180,-59.2319,74.7137
227,68.3906,-68.0641,78.9143
228,68.3928,-68.5036,75.1794
229,61.9953,-66.0843,74.7090
230,56.5983,-65.6250,75.8123
231,56.1989,-65.6238,76.9538
232,56.7931,-65.6256,78.3199
233,56.5672,-65.6256,80.5992
234,46.8654,-63.1732,81.5685
235,38.2370,-74.0760,74.8879
236,37.2148,-73.7344,77.5890
237,36.1071,-73.9173,76.2093
238,29.6711,-73.6067,79.5935
239,28.6339,-74.2971,79.2476
240,29.0239,-74.3870,77.1813
241,27.7419,-74.3805,75.7510
242,25.9245,-74.4391,74.2758
243,24.4432,-74.2408,74.2273
244,23.2878,-73.9991,74.5690
245,31.0051,-58.6419,82.0270
246,26.4060,-57.6135,83.0297
247,26.1459,-57.8630,82.0291
248,22.0944,-57.4543,82.9187
249,21.0114,-58.0347,81.5968
250,22.0773,-61.8795,74.4875
251,19.2892,-62.7250,78.3001
252,22.6252,-63.7583,81.7647
253,21.7913,-69.8653,80.9227
254,23.2360,-70.9665,80.5209
255,22.1889,-73.8715,78.3576
256,18.1891,-72.2922,76.8320
257,17.9986,-72.1575,74.4326
258,4.6372,-68.2903,78.4692
259,-1.1983,-67.0166,76.4959
260,-5.1958,-66.3099,75.1187
261,-14.9584,-61.2154,79.5968
262,-26.9341,-56.8037,78.6576
263,-27.5324,-56.3812,77.5769
264,-28.1753,-60.4807,74.7724
265,-36.1764,-46.7265,75.4874
266,-34.0154,-47.5418,80.9922
267,-32.0476,-49.8567,86.9532
268,-31.4181,-49.8550,93.7821
269,-30.9518,-50.2880,100.3883
270,-31.0608,-49.8787,106.1127
271,20.9733,-46.5617,102.0479
272,72.6593,-56.5797,100.8286
273,71.0241,-67.5535,106.2759
274,71.0025,-68.0312,100.4254
275,71.3494,-67.8350,94.5011
276,72.2311,-67.8345,86.9840
277,74.9120,-68.2005,74.7113
278,58.0963,-60.0949,87.2724
279,38.4624,-54.8758,88.5257
280,30.0375,-52.7031,89.5878
281,24.4483,-53.0185,88.1155
282,22.1544,-60.4373,87.5428
283,16.9861,-61.1023,72.9672
284,28.0628,-57.6548,77.4426
285,28.9128,-58.6948,72.1641
286,27.5501,-62.8509,72.2877
287,27.1138,-63.1249,77.6383
288,36.8496,-64.8221,78.1994
289,41.5004,-60.0858,79.5936
290,45.2437,-60.0923,72.9918
291,36.2588,-64.1329,72.0824
