mission_waypoint_id,role,device,device_type,region,device_order_index,x,y,z,yaw_deg,pitch_deg,roll_deg,target_x,target_y,target_z,source_phase2_viewpoint_id,source_phase2_row_index
37,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,9.7140,-140.2135,74.0921,71.35,0.00,0.00,10.9000,-136.7000,75.3000,24,24
38,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,8.4216,-140.2783,73.1862,62.16,0.00,0.00,10.1000,-137.1000,74.7000,23,23
39,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,5.8345,-138.3004,73.2312,37.52,0.00,0.00,8.7000,-136.1000,74.7000,22,22
40,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,18.0869,-127.9183,74.4179,-137.19,0.00,0.00,15.3000,-130.5000,75.3000,21,21
41,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,15.4592,-126.9859,74.2361,-117.96,0.00,0.00,13.7000,-130.3000,75.3000,20,20
42,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,17.2249,-130.4026,78.6583,-148.73,0.00,0.00,14.1000,-132.3000,77.3000,19,19
43,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,14.7886,-130.8804,81.6202,-136.19,0.00,0.00,13.1000,-132.5000,78.5000,18,18
44,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,14.2900,-131.3786,82.0959,-136.45,0.00,0.00,12.9000,-132.7000,78.7000,17,17
45,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,13.9513,-125.4343,80.0730,-103.80,0.00,0.00,13.1000,-128.9000,78.5000,16,16
46,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,13.1128,-126.6576,78.7519,-99.55,0.00,0.00,12.5000,-130.3000,77.5000,15,15
47,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,11.4435,-126.3980,78.6999,-86.04,0.00,0.00,11.7000,-130.1000,77.5000,14,14
48,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,9.8328,-126.5098,74.2131,-73.45,0.00,0.00,10.9000,-130.1000,75.3000,13,13
49,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,4.9268,-129.5468,76.6273,-30.07,0.00,0.00,8.3000,-131.5000,76.5000,12,12
50,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,-0.0386,-126.5263,74.8896,-30.59,0.00,0.00,3.3000,-128.5000,75.3000,11,11
51,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,-6.9518,-134.2256,79.2985,1.87,0.00,0.00,-3.1000,-134.1000,78.7000,10,10
52,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,-7.1764,-134.4756,78.2910,2.59,0.00,0.00,-3.3000,-134.3000,77.9000,9,9
53,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,-15.7905,-133.7148,74.4287,0.22,0.00,0.00,-11.9000,-133.7000,74.7000,7,7
54,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,-16.3990,-133.7144,76.9857,0.21,0.00,0.00,-12.5000,-133.7000,76.9000,6,6
55,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,-42.5626,-127.0340,80.1698,-6.88,0.00,0.00,-38.7000,-127.5000,79.9000,5,5
56,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,-42.9828,-128.9722,78.6626,-4.83,0.00,0.00,-39.1000,-129.3000,78.5000,4,4
57,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,-42.5715,-127.0329,77.1564,-6.88,0.00,0.00,-38.7000,-127.5000,77.1000,3,3
58,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,-44.1781,-127.9059,74.5766,-5.80,0.00,0.00,-40.3000,-128.3000,74.7000,2,2
59,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,-42.1040,-121.4437,75.2196,-12.69,0.00,0.00,-38.3000,-122.3000,75.3000,1,1
60,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,9.4215,-135.5324,72.1969,37.33,0.00,0.00,11.3000,-134.1000,75.3000,0,0
61,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,11.2089,-140.2490,71.3331,16.88,0.00,0.00,11.7000,-140.1000,75.3000,0,0
62,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,66.6176,-148.3132,74.7747,171.10,0.00,0.00,62.7000,-147.7000,75.3000,1,1
63,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,66.4452,-148.7516,80.5952,170.62,0.00,0.00,62.5000,-148.1000,80.7000,2,2
64,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,65.6347,-148.9764,85.3459,170.25,0.00,0.00,61.7000,-148.3000,85.1000,3,3
65,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,65.3957,-148.3247,90.9582,170.89,0.00,0.00,61.5000,-147.7000,90.3000,4,4
66,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,65.1092,-148.7446,96.3367,170.40,0.00,0.00,61.3000,-148.1000,95.3000,5,5
67,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,18.0900,-140.3981,103.7743,174.34,0.00,0.00,17.1000,-140.3000,99.9000,6,6
68,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,18.6638,-144.4137,93.6412,143.32,0.00,0.00,16.9000,-143.1000,90.3000,7,7
69,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,11.5805,-140.8434,89.2287,46.29,0.00,0.00,12.1000,-140.3000,85.3000,8,8
70,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,8.1658,-137.2122,88.4284,-31.11,0.00,0.00,10.3000,-138.5000,85.3000,10,10
71,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,12.4592,-137.7217,88.9223,-88.02,0.00,0.00,12.5000,-138.9000,85.1000,11,11
72,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,13.7664,-138.2220,89.1451,-127.20,0.00,0.00,13.1000,-139.1000,85.3000,12,12
73,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,20.8391,-139.6010,87.5001,-178.30,0.00,0.00,17.5000,-139.7000,85.3000,13,13
74,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,21.0208,-146.0262,87.0171,143.95,0.00,0.00,18.1000,-143.9000,85.3000,14,14
75,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,22.4372,-139.2896,78.2898,-176.78,0.00,0.00,18.7000,-139.5000,79.7000,15,15
76,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,24.0158,-139.3707,72.7949,-177.62,0.00,0.00,20.9000,-139.5000,75.3000,16,16
77,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,14.3646,-142.4411,71.4695,125.23,0.00,0.00,13.7000,-141.5000,75.3000,17,17
78,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,13.4264,-142.4512,71.4285,108.94,0.00,0.00,13.1000,-141.5000,75.3000,18,18
79,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,14.6772,-137.4205,71.4761,-131.46,0.00,0.00,13.9000,-138.3000,75.3000,19,19
80,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,13.4346,-137.0693,71.6496,-107.98,0.00,0.00,13.1000,-138.1000,75.5000,20,20
81,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,11.5348,-137.4071,71.4181,-67.76,0.00,0.00,11.9000,-138.3000,75.3000,21,21
82,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,10.2983,-136.8104,71.5357,-53.65,0.00,0.00,11.1000,-137.9000,75.3000,22,22
83,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,-46.4514,-129.6516,101.3275,-9.81,0.00,0.00,-42.7000,-130.3000,100.1000,23,23
84,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,-46.6051,-129.6250,90.2425,-9.81,0.00,0.00,-42.7000,-130.3000,89.7000,25,25
85,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,-46.6364,-129.8338,85.7475,-9.61,0.00,0.00,-42.7000,-130.5000,85.5000,26,26
86,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,-48.0421,-129.6354,79.9659,-9.57,0.00,0.00,-44.1000,-130.3000,80.1000,27,27
87,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,-48.2326,-131.1362,74.8345,-8.16,0.00,0.00,-44.3000,-131.7000,75.3000,28,28
88,inspect_capture,capacitor,capacitor,region_capacitor,3,-45.0392,-119.8373,80.2149,58.28,0.00,0.00,-43.1000,-116.7000,79.3000,38,38
89,inspect_capture,capacitor,capacitor,region_capacitor,3,-44.5768,-120.1926,77.3770,60.32,0.00,0.00,-42.7000,-116.9000,77.1000,36,36
90,inspect_capture,capacitor,capacitor,region_capacitor,3,-45.0711,-120.1486,76.3346,58.75,0.00,0.00,-43.1000,-116.9000,76.3000,35,35
91,inspect_capture,capacitor,capacitor,region_capacitor,3,-44.5493,-120.4039,74.7769,60.76,0.00,0.00,-42.7000,-117.1000,75.1000,34,34
92,inspect_capture,capacitor,capacitor,region_capacitor,3,-45.5202,-120.2971,74.5296,57.71,0.00,0.00,-43.5000,-117.1000,74.9000,33,33
93,inspect_capture,capacitor,capacitor,region_capacitor,3,-34.9418,-121.9808,79.9737,95.56,0.00,0.00,-35.3000,-118.3000,79.1000,32,32
94,inspect_capture,capacitor,capacitor,region_capacitor,3,-34.6675,-121.8459,78.1699,96.59,0.00,0.00,-35.1000,-118.1000,77.7000,31,31
95,inspect_capture,capacitor,capacitor,region_capacitor,3,-34.9261,-121.8803,76.5988,95.65,0.00,0.00,-35.3000,-118.1000,76.5000,30,30
96,inspect_capture,capacitor,capacitor,region_capacitor,3,-33.1522,-122.6126,74.7876,101.39,0.00,0.00,-33.9000,-118.9000,75.1000,29,29
97,inspect_capture,capacitor,capacitor,region_capacitor,3,-30.8002,-115.7460,74.5574,120.34,0.00,0.00,-32.7000,-112.5000,75.1000,28,28
98,inspect_capture,capacitor,capacitor,region_capacitor,3,-32.3558,-112.9633,76.4026,120.79,0.00,0.00,-34.3000,-109.7000,76.3000,27,27
99,inspect_capture,capacitor,capacitor,region_capacitor,3,-32.5557,-112.6277,79.9811,120.79,0.00,0.00,-34.3000,-109.7000,78.3000,26,26
100,inspect_capture,capacitor,capacitor,region_capacitor,3,-28.8658,-110.3285,74.3023,150.52,0.00,0.00,-32.1000,-108.5000,75.1000,25,25
101,inspect_capture,capacitor,capacitor,region_capacitor,3,-28.8172,-109.0988,77.4943,158.12,0.00,0.00,-32.3000,-107.7000,76.9000,24,24
102,inspect_capture,capacitor,capacitor,region_capacitor,3,-29.8615,-109.8620,79.3501,149.89,0.00,0.00,-32.9000,-108.1000,77.9000,23,23
103,inspect_capture,capacitor,capacitor,region_capacitor,3,-28.4986,-103.3786,79.1700,-161.75,0.00,0.00,-31.9000,-104.5000,77.9000,21,21
104,inspect_capture,capacitor,capacitor,region_capacitor,3,-28.4041,-104.3306,77.1338,-168.24,0.00,0.00,-32.1000,-105.1000,76.7000,20,20
105,inspect_capture,capacitor,capacitor,region_capacitor,3,-27.7115,-101.9205,74.4191,-155.01,0.00,0.00,-31.1000,-103.5000,75.1000,19,19
106,inspect_capture,capacitor,capacitor,region_capacitor,3,-29.3542,-94.0361,76.0685,-120.80,0.00,0.00,-31.3000,-97.3000,76.1000,18,18
107,inspect_capture,capacitor,capacitor,region_capacitor,3,-27.3633,-90.6392,75.0620,-120.71,0.00,0.00,-29.3000,-93.9000,75.3000,17,17
108,inspect_capture,capacitor,capacitor,region_capacitor,3,-28.6809,-93.7244,78.2281,-122.45,0.00,0.00,-30.7000,-96.9000,77.7000,16,16
109,inspect_capture,capacitor,capacitor,region_capacitor,3,-28.7864,-93.0922,78.9986,-120.82,0.00,0.00,-30.7000,-96.3000,78.3000,15,15
110,inspect_capture,capacitor,capacitor,region_capacitor,3,-31.4723,-91.5695,78.9844,-109.17,0.00,0.00,-32.7000,-95.1000,78.3000,14,14
111,inspect_capture,capacitor,capacitor,region_capacitor,3,-31.3452,-89.8828,76.8491,-107.71,0.00,0.00,-32.5000,-93.5000,76.7000,13,13
112,inspect_capture,capacitor,capacitor,region_capacitor,3,-38.7951,-88.5375,77.0964,-82.50,0.00,0.00,-38.3000,-92.3000,76.9000,12,12
113,inspect_capture,capacitor,capacitor,region_capacitor,3,-39.5435,-88.3760,74.3028,-80.20,0.00,0.00,-38.9000,-92.1000,74.7000,11,11
114,inspect_capture,capacitor,capacitor,region_capacitor,3,-41.2090,-97.0493,78.8760,-62.27,0.00,0.00,-39.5000,-100.3000,77.9000,10,10
115,inspect_capture,capacitor,capacitor,region_capacitor,3,-42.0963,-97.4457,79.1611,-56.83,0.00,0.00,-40.1000,-100.5000,78.1000,9,9
116,inspect_capture,capacitor,capacitor,region_capacitor,3,-41.8336,-97.0541,77.3066,-59.22,0.00,0.00,-39.9000,-100.3000,76.9000,8,8
117,inspect_capture,capacitor,capacitor,region_capacitor,3,-42.5140,-96.5241,74.5548,-57.62,0.00,0.00,-40.5000,-99.7000,75.1000,7,7
118,inspect_capture,capacitor,capacitor,region_capacitor,3,-44.8430,-103.3828,74.3005,-17.50,0.00,0.00,-41.3000,-104.5000,75.1000,6,6
119,inspect_capture,capacitor,capacitor,region_capacitor,3,-44.0278,-101.8677,76.3917,-28.84,0.00,0.00,-40.7000,-103.7000,76.3000,5,5
120,inspect_capture,capacitor,capacitor,region_capacitor,3,-43.9469,-102.8238,77.5162,-23.18,0.00,0.00,-40.5000,-104.3000,76.9000,4,4
121,inspect_capture,capacitor,capacitor,region_capacitor,3,-44.2776,-110.2149,79.0841,28.35,0.00,0.00,-41.1000,-108.5000,77.9000,3,3
122,inspect_capture,capacitor,capacitor,region_capacitor,3,-44.7791,-110.7903,77.0380,29.96,0.00,0.00,-41.5000,-108.9000,76.7000,2,2
123,inspect_capture,capacitor,capacitor,region_capacitor,3,-44.9875,-110.7223,74.7415,29.00,0.00,0.00,-41.7000,-108.9000,75.3000,1,1
124,inspect_capture,capacitor,capacitor,region_capacitor,3,-45.3429,-110.8850,73.8413,28.83,0.00,0.00,-42.1000,-109.1000,74.7000,0,0
125,inspect_capture,main_transformer,transformer,region_main_transformer,4,2.2454,-97.3663,73.1169,33.27,0.00,0.00,5.7000,-95.1000,74.9000,0,0
126,inspect_capture,main_transformer,transformer,region_main_transformer,4,3.9953,-98.4660,76.7708,41.91,0.00,0.00,7.3000,-95.5000,77.5000,1,1
127,inspect_capture,main_transformer,transformer,region_main_transformer,4,10.9482,-100.8316,76.9374,77.61,0.00,0.00,11.9000,-96.5000,77.7000,2,2
128,inspect_capture,main_transformer,transformer,region_main_transformer,4,12.6572,-100.6621,73.1803,86.49,0.00,0.00,12.9000,-96.7000,75.3000,3,3
129,inspect_capture,main_transformer,transformer,region_main_transformer,4,17.7297,-99.9794,77.5892,114.16,0.00,0.00,15.9000,-95.9000,78.1000,4,4
130,inspect_capture,main_transformer,transformer,region_main_transformer,4,19.2918,-100.8828,73.2435,119.07,0.00,0.00,17.3000,-97.3000,75.1000,5,5
131,inspect_capture,main_transformer,transformer,region_main_transformer,4,30.3886,-101.0648,74.0744,147.34,0.00,0.00,26.7000,-98.7000,75.1000,6,6
132,inspect_capture,main_transformer,transformer,region_main_transformer,4,31.3126,-100.2454,73.8459,150.63,0.00,0.00,27.5000,-98.1000,74.9000,7,7
133,inspect_capture,main_transformer,transformer,region_main_transformer,4,31.5008,-99.3258,77.1267,153.14,0.00,0.00,27.5000,-97.3000,77.5000,8,8
134,inspect_capture,main_transformer,transformer,region_main_transformer,4,31.3175,-101.2633,77.3976,148.24,0.00,0.00,27.5000,-98.9000,77.7000,9,9
135,inspect_capture,main_transformer,transformer,region_main_transformer,4,31.3145,-101.0077,81.7114,148.83,0.00,0.00,27.5000,-98.7000,81.1000,10,10
136,inspect_capture,main_transformer,transformer,region_main_transformer,4,31.4000,-100.0396,81.9800,151.25,0.00,0.00,27.5000,-97.9000,81.3000,11,11
137,inspect_capture,main_transformer,transformer,region_main_transformer,4,30.3697,-100.7979,84.5259,147.95,0.00,0.00,26.7000,-98.5000,83.3000,12,12
138,inspect_capture,main_transformer,transformer,region_main_transformer,4,31.3027,-99.9862,84.4988,151.25,0.00,0.00,27.5000,-97.9000,83.3000,13,13
139,inspect_capture,main_transformer,transformer,region_main_transformer,4,31.9634,-94.6369,89.0085,166.37,0.00,0.00,28.1000,-93.7000,86.9000,14,14
140,inspect_capture,main_transformer,transformer,region_main_transformer,4,31.9527,-93.3305,91.8515,170.21,0.00,0.00,28.3000,-92.7000,89.3000,15,15
141,inspect_capture,main_transformer,transformer,region_main_transformer,4,28.4129,-88.2401,89.0006,-172.94,0.00,0.00,24.7000,-88.7000,86.5000,16,16
142,inspect_capture,main_transformer,transformer,region_main_transformer,4,33.5728,-86.5490,84.4954,-170.03,0.00,0.00,29.3000,-87.3000,83.3000,17,17
143,inspect_capture,main_transformer,transformer,region_main_transformer,4,34.1837,-85.0645,74.3902,-166.41,0.00,0.00,29.9000,-86.1000,75.3000,20,20
144,inspect_capture,main_transformer,transformer,region_main_transformer,4,25.9556,-82.5010,73.8678,-148.97,0.00,0.00,22.3000,-84.7000,75.3000,21,21
145,inspect_capture,main_transformer,transformer,region_main_transformer,4,23.1571,-83.0962,77.9903,-144.55,0.00,0.00,19.5000,-85.7000,78.3000,22,22
146,inspect_capture,main_transformer,transformer,region_main_transformer,4,18.3014,-80.0863,73.3134,-116.50,0.00,0.00,16.5000,-83.7000,75.3000,23,23
147,inspect_capture,main_transformer,transformer,region_main_transformer,4,15.3171,-79.3201,77.2683,-100.57,0.00,0.00,14.5000,-83.7000,77.9000,24,24
148,inspect_capture,main_transformer,transformer,region_main_transformer,4,18.1281,-79.7879,82.1662,-115.05,0.00,0.00,16.3000,-83.7000,80.9000,25,25
149,inspect_capture,main_transformer,transformer,region_main_transformer,4,15.1805,-80.0524,85.8460,-100.57,0.00,0.00,14.5000,-83.7000,83.3000,26,26
150,inspect_capture,main_transformer,transformer,region_main_transformer,4,10.9124,-79.8708,81.6785,-76.86,0.00,0.00,11.9000,-84.1000,80.5000,27,27
151,inspect_capture,main_transformer,transformer,region_main_transformer,4,9.0804,-80.6035,77.9028,-66.05,0.00,0.00,10.9000,-84.7000,78.3000,28,28
152,inspect_capture,main_transformer,transformer,region_main_transformer,4,7.2914,-79.2821,73.5318,-60.96,0.00,0.00,9.3000,-82.9000,75.3000,29,29
153,inspect_capture,main_transformer,transformer,region_main_transformer,4,-4.8577,-79.0012,74.3805,-31.46,0.00,0.00,-1.1000,-81.3000,75.3000,30,30
154,inspect_capture,main_transformer,transformer,region_main_transformer,4,-4.9331,-79.2083,81.4523,-30.87,0.00,0.00,-1.1000,-81.5000,80.9000,32,32
155,inspect_capture,main_transformer,transformer,region_main_transformer,4,-3.9859,-79.4209,84.5125,-31.73,0.00,0.00,-0.3000,-81.7000,83.3000,33,33
156,inspect_capture,main_transformer,transformer,region_main_transformer,4,-4.8952,-79.9890,84.4792,-29.08,0.00,0.00,-1.1000,-82.1000,83.3000,34,34
157,inspect_capture,main_transformer,transformer,region_main_transformer,4,-5.3101,-81.1746,81.9797,-25.65,0.00,0.00,-1.3000,-83.1000,81.3000,35,35
158,inspect_capture,main_transformer,transformer,region_main_transformer,4,-5.3683,-81.4024,77.3867,-25.01,0.00,0.00,-1.3000,-83.3000,77.7000,36,36
159,inspect_capture,main_transformer,transformer,region_main_transformer,4,-5.9802,-82.4867,74.1004,-21.57,0.00,0.00,-1.9000,-84.1000,75.1000,37,37
160,inspect_capture,main_transformer,transformer,region_main_transformer,4,-7.8199,-94.1196,74.1425,10.74,0.00,0.00,-3.5000,-93.3000,75.1000,38,38
161,inspect_capture,main_transformer,transformer,region_main_transformer,4,-7.6888,-94.6485,77.4027,12.19,0.00,0.00,-3.3000,-93.7000,77.7000,39,39
162,inspect_capture,main_transformer,transformer,region_main_transformer,4,-7.1616,-94.1385,84.4770,11.13,0.00,0.00,-2.9000,-93.3000,83.3000,41,41
163,inspect_capture,main_transformer,transformer,region_main_transformer,4,-6.5412,-87.5856,88.2115,-7.25,0.00,0.00,-2.5000,-88.1000,86.3000,42,42
164,inspect_capture,main_transformer,transformer,region_main_transformer,4,-5.5948,-88.3569,91.8457,-5.30,0.00,0.00,-1.9000,-88.7000,89.3000,43,43
165,inspect_capture,main_transformer,transformer,region_main_transformer,4,-2.8982,-92.4476,88.8503,8.20,0.00,0.00,0.9000,-91.9000,86.5000,44,44
166,inspect_capture,main_transformer,transformer,region_main_transformer,4,6.0390,-94.4503,90.5489,30.85,0.00,0.00,8.3000,-93.1000,86.9000,45,45
167,inspect_capture,main_transformer,transformer,region_main_transformer,4,7.3272,-98.1681,81.7663,53.43,0.00,0.00,9.9000,-94.7000,80.5000,46,46
168,inspect_capture,main_transformer,transformer,region_main_transformer,4,11.9703,-100.7097,82.5993,82.83,0.00,0.00,12.5000,-96.5000,81.1000,47,47
169,inspect_capture,main_transformer,transformer,region_main_transformer,4,12.3453,-99.9351,85.9288,84.43,0.00,0.00,12.7000,-96.3000,83.3000,48,48
