device,device_type,region,order_index,reverse,raw_viewpoints,retained_viewpoints,retention_ratio,phase2_coverage_ratio,estimated_phase3_coverage_ratio,phase2_path_length_m,phase2_path_segment_success_ratio,entry_transition_length_m,intra_device_length_m,exit_transition_length_m
shelf3,shelf,region_shelf2_tube2_shelf3,0,False,21,19,0.9047619047619048,0.6457142857142857,0.5842176870748299,146.63749914446373,0.0,48.20070573563687,146.6342860863538,67.42710340330513
tube2,tube,region_shelf2_tube2_shelf3,1,True,44,41,0.9318181818181818,0.3653571428571429,0.3404464285714286,270.4543718885626,0.0,67.42710340330513,270.25891577272944,5.117349388110997
shelf2,shelf,region_shelf2_tube2_shelf3,2,False,29,27,0.9310344827586207,0.3157142857142857,0.2939408866995074,300.0658349753993,0.10714285714285714,5.117349388110997,299.972929978953,12.915558405659432
capacitor,capacitor,region_capacitor,3,True,39,37,0.9487179487179487,0.32107142857142856,0.3046062271062271,140.20591736129066,0.05263157894736842,12.915558405659432,140.17348675533944,49.47652273492955
main_transformer,transformer,region_main_transformer,4,False,60,56,0.9333333333333333,0.36392857142857143,0.3396666666666667,284.049711954491,0.0,49.47652273492955,284.0103985033621,25.311453538072442
shelf4,shelf,region_shelf1_tube1_shelf4,5,True,41,34,0.8292682926829268,0.8875,0.7359756097560974,146.14270586850967,0.0,25.311453538072442,145.97464633338427,20.771623481326635
tube1,tube,region_shelf1_tube1_shelf4,6,False,53,50,0.9433962264150944,0.29178571428571426,0.2752695417789757,259.17635208711806,0.0,20.771623481326635,259.0653476514104,15.928177668835815
shelf1,shelf,region_shelf1_tube1_shelf4,7,True,29,27,0.9310344827586207,0.4775,0.44456896551724134,323.63462362280194,0.0,15.928177668835815,323.6280694342967,0.0
