scenario,ordering_strategy,retained_viewpoints_total,global_retention_ratio,estimated_global_coverage_ratio,path_length_raw_m,path_length_shortcut_m,path_length_smoothed_m,segment_success_ratio,trackability_raw,trackability_shortcut,trackability_smoothed,max_turn_raw_deg,max_turn_shortcut_deg,max_turn_smoothed_deg,low_clearance_raw_ratio,low_clearance_shortcut_ratio,low_clearance_smoothed_ratio,region_order_match,strict_device_order_match,estimated_order_cost_m,scenario_total_s
conservative,region_constrained,603,0.8626609442060086,0.5425827280862161,5249.465330910356,3022.0200909414034,2996.746058582344,0.9071310116086235,5.071193091133368,11.994979147351367,12.147801710097953,180.0,177.49679145493798,177.43795338303727,0.9186007399932727,0.9905660377358491,0.9811320754716981,True,True,443.79043160911,112.45116419999977
balanced,region_constrained,550,0.7868383404864091,0.498426691925739,5238.02110246707,2459.775311209321,2414.12665298642,0.9018181818181819,5.1826263342397985,14.926644483288632,15.366180782877386,180.0,179.2198815644788,179.2198815644788,0.9117945251774248,0.958904109589041,0.9315068493150684,True,True,443.79043160911,184.34966740000527
aggressive,region_constrained,479,0.6852646638054364,0.4417502461090028,5247.666560098713,1779.5291980947288,1704.9200375621408,0.8935281837160751,5.415204597954971,17.3691428137704,17.281986595158443,180.0,177.75051415249683,177.63867073556773,0.8954030646235843,0.9615384615384616,0.8846153846153846,True,True,443.79043160911,101.81480409999494
phase2_style_local,region_constrained,556,0.7954220314735336,0.506884196179778,8416.813686227353,3864.4571553366613,3773.9917875400065,0.8794964028776978,5.442095244977524,15.207890215990771,15.382200863470196,180.0,179.86059448552027,179.85413921022044,0.8695453506968243,0.9354838709677419,0.9247311827956989,True,True,515.7011122127687,172.85568380000768
