mode,case_name,d0,k_gps,d_ctrl,static_d_eff,phase1_free_pct,estimated_global_coverage_ratio,trackability_smoothed,path_length_smoothed_m,segment_success_ratio,low_clearance_smoothed_ratio,scenario_total_s
dynamic,dynamic_d0_1.8,1.8,1.0,0.2,0.0,78.90995263528932,0.4724318782850543,13.547804378248465,1821.7238483267085,0.898854961832061,0.8837209302325582,89.78176240000175
dynamic,dynamic_d0_2.0,2.0,1.0,0.2,0.0,77.65787733059891,0.498426691925739,15.366180782877386,2414.12665298642,0.9018181818181819,0.9315068493150684,95.74523919998319
dynamic,dynamic_d0_2.3,2.3,1.0,0.2,0.0,75.82707466985575,0.5054417700714036,14.693092236498428,2513.5578300389343,0.016216216216216217,0.9866666666666667,3.7092692000151146
dynamic,dynamic_d0_2.6,2.6,1.1,0.25,0.0,72.96256168476651,0.5054417700714036,13.894455292513486,4568.61696511335,0.0018018018018018018,0.9928571428571429,0.7559107000124641
static,static_d3.30,0.0,0.0,0.0,3.3,81.00106168537111,0.4562540900645029,12.487667451472925,1701.3729851933272,0.9096267190569745,0.9473684210526315,87.11653970001498
static,static_d3.80,0.0,0.0,0.0,3.8,77.98707234817476,0.49969811147840865,12.849983783717226,1703.190618278903,0.6642335766423357,0.9772727272727273,64.6075695999898
static,static_d4.30,0.0,0.0,0.0,4.3,74.78476687057959,0.5054417700714036,14.161235399722441,2985.23045542033,0.06486486486486487,0.9897959183673469,6.589037199999439
