device,device_type,region,order_index,reverse,raw_viewpoints,retained_viewpoints,retention_ratio,phase2_coverage_ratio,estimated_phase3_coverage_ratio,phase2_path_length_m,phase2_path_segment_success_ratio,entry_transition_length_m,intra_device_length_m,exit_transition_length_m
shelf3,shelf,region_shelf2_tube2_shelf3,0,True,2,2,1.0,0.05357142857142857,0.05357142857142857,32.54945934517942,0.0,37.99579102224424,32.549425425957985,21.516322019806267
tube2,tube,region_shelf2_tube2_shelf3,1,False,4,4,1.0,0.07714285714285714,0.07714285714285714,158.2545757843729,0.0,21.516322019806267,158.2546070771403,9.177108288017514
shelf2,shelf,region_shelf2_tube2_shelf3,2,False,9,9,1.0,0.06642857142857143,0.06642857142857143,752.0717010286183,0.0,9.177108288017514,752.0719764538443,99.555563587225
capacitor,capacitor,region_capacitor,3,False,1,1,1.0,0.013928571428571429,0.013928571428571429,0.0,1.0,99.555563587225,0.0,34.07565638942265
main_transformer,transformer,region_main_transformer,4,False,2,2,1.0,0.048214285714285716,0.048214285714285716,27.292981987387694,0.0,34.07565638942265,27.293044985307155,17.935845692077088
shelf4,shelf,region_shelf1_tube1_shelf4,5,False,1,1,1.0,0.07178571428571429,0.07178571428571429,0.0,1.0,17.935845692077088,0.0,16.841572490714764
tube1,tube,region_shelf1_tube1_shelf4,6,False,4,4,1.0,0.027142857142857142,0.027142857142857142,167.9307344199364,0.0,16.841572490714764,167.93068367634584,24.863563844509493
shelf1,shelf,region_shelf1_tube1_shelf4,7,True,10,10,1.0,0.2,0.2,457.0414852504154,0.0,24.863563844509493,457.04144199669497,0.0
