label,group,device,coverage_ratio,ordered_viewpoints,viewpoint_generation_time_s,path_planning_time_s,path_segment_success_ratio
Ours-balanced,ours,shelf4,0.8278571428571428,36,0.026744900009362027,0.04915230002370663,0.9428571428571428
FC-Planner (CON),baseline,shelf4,0.8646428571428572,41,0.00698579999152571,0.2275495999492705,1.0
FC-Planner (UN),baseline,shelf4,0.8875,41,0.0025772000080905855,0.0006319999811239541,0.0
PredRecon (CON),baseline,shelf4,0.10285714285714286,1,0.005069000006187707,8.600007276982069e-06,1.0
PredRecon (UN),baseline,shelf4,0.07178571428571429,1,0.004924500011838973,7.599999662488699e-06,1.0
