label,group,device,coverage_ratio,ordered_viewpoints,viewpoint_generation_time_s,path_planning_time_s,path_segment_success_ratio
Ours-balanced,ours,shelf1,0.9496428571428571,220,0.5217336000059731,19.585960600001272,0.8401826484018264
FC-Planner (CON),baseline,shelf1,0.5832142857142857,29,0.022083799995016307,23.056899399962276,0.8214285714285714
FC-Planner (UN),baseline,shelf1,0.4775,29,0.013814100006129593,0.0007260999991558492,0.0
PredRecon (CON),baseline,shelf1,0.3028571428571429,10,0.01772750000236556,17.75206500000786,0.5555555555555556
PredRecon (UN),baseline,shelf1,0.2,10,0.017673099995590746,0.00020910002058371902,0.0
