method,scenario,label,estimated_global_coverage_ratio,global_retention_ratio,path_length_smoothed_m,segment_success_ratio,trackability_smoothed,low_clearance_smoothed_ratio,region_order_match,strict_device_order_match,coverage_x_success,coverage_x_success_per_km,delta_cov_vs_ours,delta_path_len_vs_ours_m,delta_seg_success_vs_ours,delta_trackability_vs_ours
ours,balanced,Ours-balanced,0.498426691925739,0.7868383404864091,2414.12665298642,0.9018181818181819,15.366180782877386,0.9315068493150684,True,True,0.44949025308212104,0.18619166170344648,0.0,0.0,0.0,0.0
fc_planner_lite,constrained_projected,FC-Planner (CON),0.4031780367373301,0.75,1381.0213380588366,0.9367088607594937,11.140375417475493,0.9824561403508771,True,True,0.3776604394754738,0.2734645939694989,-0.09524865518840891,-1033.1053149275835,0.034890678941311815,-4.225805365401893
fc_planner_lite,unconstrained_native,FC-Planner (UN),0.4148365016463718,0.9208860759493671,1196.3821824575627,0.013745704467353952,14.553781100007996,0.9642857142857143,True,True,0.005702219953902018,0.004766219388346904,-0.0835901902793672,-1217.7444705288574,-0.888072477350828,-0.8123996828693905
predrecon_lite,constrained_projected,PredRecon (CON),0.1465625,1.0,1361.0422472679365,0.5454545454545454,28.869707517503784,0.9090909090909091,True,True,0.07994318181818182,0.05873673795112114,-0.35186419192573903,-1053.0844057184836,-0.35636363636363644,13.503526734626398
predrecon_lite,unconstrained_native,PredRecon (UN),0.06977678571428571,1.0,1857.1026029493075,0.0,31.51179335660521,0.9,True,True,0.0,0.0,-0.4286499062114533,-557.0240500371126,-0.9018181818181819,16.145612573727824
