method,scenario,label,device_count,viewpoints_total,global_coverage_ratio_weighted,viewpoint_generation_time_total_s,viewpoint_generation_time_avg_per_viewpoint_ms,path_planning_time_total_s,segment_success_weighted_by_segments,path_violation_length_ratio_weighted,delta_cov_vs_ours,delta_path_plan_time_vs_ours_s,delta_view_gen_total_time_vs_ours_s,delta_viewpoints_vs_ours
ours,phase2_default,Ours-balanced,8,699,0.6292857142857143,2.1392473000159953,3.0604396280629405,58.15454410001985,0.8798842257597684,0.0,0.0,0.0,0.0,0
fc_planner_lite,constrained_projected,FC-Planner (CON),8,316,0.5420089285714286,0.09783590002916753,0.30960727857331494,56.970878599910066,0.948051948051948,0.1406586463661853,-0.08727678571428577,-1.1836655001097824,-2.0414113999868277,-383
fc_planner_lite,unconstrained_native,FC-Planner (UN),8,316,0.4585714285714286,0.062091799976769835,0.19649303790117034,0.010449399938806891,0.016233766233766232,0.8743315522869912,-0.17071428571428576,-58.14409470008104,-2.0771555000392254,-383
predrecon_lite,constrained_projected,PredRecon (CON),8,33,0.1465625,0.08006620011292398,2.4262484882704234,59.95689319999656,0.48,0.6156344981038013,-0.4827232142857143,1.8023490999767091,-2.0591810999030713,-666
predrecon_lite,unconstrained_native,PredRecon (UN),8,33,0.06977678571428571,0.08107610000297427,2.4568515152416444,0.000817099935375154,0.0,0.9479329237479935,-0.5595089285714286,-58.15372700008447,-2.058171200013021,-666
