device,type,standoff_m,raw_viewpoints,ordered_viewpoints,coverage_ratio,sampled_surface_points,covered_surface_points,viewpoint_generation_time_s,avg_generation_time_per_viewpoint_ms,path_planning_time_s,avg_path_planning_time_per_viewpoint_pair_ms,device_total_runtime_s,path_length_m,path_segment_success_ratio,report_json
capacitor,capacitor,3.8,25,25,0.2839285714285714,2800,795,0.047555700002703816,1.9022280001081526,0.08358380000572652,3.4826583335719383,48.744624399987515,95.13084087981917,1.0,F:\FINAL\outputs\phase2_single_device\capacitor\device_report.json
main_transformer,transformer,4.5,75,75,0.3989285714285714,2800,1117,0.4049480000103358,5.399306666804478,8.33961300001829,112.69747297322012,95.82555960002355,469.67032582007664,0.9864864864864865,F:\FINAL\outputs\phase2_single_device\main_transformer\device_report.json
shelf1,shelf,3.9999999999999996,220,220,0.9496428571428571,2800,2659,0.5217336000059731,2.3715163636635146,19.585960600001272,89.4336100456679,70.30030120001175,1780.9843139034433,0.8401826484018264,F:\FINAL\outputs\phase2_single_device\shelf1\device_report.json
shelf2,shelf,3.9999999999999996,220,220,0.9771428571428571,2800,2736,0.6035465000022668,2.743393181828486,25.070560299995122,114.47744429221517,67.9265851000091,1611.762601784908,0.8721461187214612,F:\FINAL\outputs\phase2_single_device\shelf2\device_report.json
shelf3,shelf,3.9999999999999996,76,76,0.9653571428571428,2800,2703,0.14084040001034737,1.8531631580308865,0.6366689999995288,8.488919999993717,33.646982100006426,335.24508182077136,0.8266666666666667,F:\FINAL\outputs\phase2_single_device\shelf3\device_report.json
shelf4,shelf,3.9999999999999996,36,36,0.8278571428571428,2800,2318,0.026744900009362027,0.7429138891489452,0.04915230002370663,1.4043514292487607,17.563914099999238,148.34977808685318,0.9428571428571428,F:\FINAL\outputs\phase2_single_device\shelf4\device_report.json
tube1,tube,3.9,29,29,0.33464285714285713,2800,937,0.21260639998945408,7.331255172050141,2.9361760999890976,104.86343214246777,28.924925300001632,268.1899637802379,0.8571428571428571,F:\FINAL\outputs\phase2_single_device\tube1\device_report.json
tube2,tube,3.9,18,18,0.29678571428571426,2800,831,0.1812717999855522,10.070655554752902,1.452828999987105,85.46052941100616,22.659814099984942,187.9962087366426,1.0,F:\FINAL\outputs\phase2_single_device\tube2\device_report.json
