mission_waypoint_id,role,device,device_type,region,device_order_index,x,y,z,yaw_deg,pitch_deg,roll_deg,target_x,target_y,target_z,source_phase2_viewpoint_id,source_phase2_row_index
36,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,15.1693,-131.3955,87.5000,67.50,0.00,0.00,16.7000,-127.7000,87.5000,51,51
37,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,10.4927,-130.7803,87.5000,67.50,0.00,0.00,12.1000,-126.9000,87.5000,52,52
38,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,7.5000,-130.3000,87.3000,90.00,0.00,0.00,7.5000,-126.3000,87.3000,53,53
39,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,3.3000,-129.5000,87.5000,90.00,0.00,0.00,3.3000,-125.5000,87.5000,55,55
40,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,2.5955,-126.2935,87.3000,37.50,0.00,0.00,3.2333,-125.1667,87.3000,56,56
41,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,-7.2134,-118.2806,87.3000,-67.50,0.00,0.00,-5.3000,-122.9000,87.3000,58,58
42,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,-9.1955,-125.2307,90.5000,22.50,0.00,0.00,-5.5000,-123.7000,90.5000,59,59
43,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,-5.1000,-127.9000,90.5000,90.00,0.00,0.00,-5.1000,-123.9000,90.5000,60,60
44,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,-3.4927,-127.5803,93.5000,112.50,0.00,0.00,-5.1000,-123.7000,93.5000,61,61
45,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,-0.7000,-123.5000,93.5000,180.00,0.00,0.00,-4.9000,-123.5000,93.5000,63,63
46,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,-8.1284,-120.4716,93.5000,-45.00,0.00,0.00,-5.3000,-123.3000,93.5000,64,64
47,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,-9.5000,-123.7000,93.7000,0.00,0.00,0.00,-5.5000,-123.7000,93.7000,65,65
48,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,-9.5000,-123.5000,96.5000,0.00,0.00,0.00,-5.5000,-123.5000,96.5000,66,66
49,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,-8.1284,-126.7284,96.5000,45.00,0.00,0.00,-5.3000,-123.9000,96.5000,67,67
50,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,-1.0197,-125.3073,96.5000,157.50,0.00,0.00,-4.9000,-123.7000,96.5000,69,69
51,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,-3.5693,-119.6045,96.5000,-112.50,0.00,0.00,-5.1000,-123.3000,96.5000,70,70
52,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,-2.0716,-120.6716,99.5000,-135.00,0.00,0.00,-4.9000,-123.5000,99.5000,71,71
53,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,-5.1000,-123.7000,99.5000,-45.00,0.00,0.00,-5.1000,-123.7000,99.5000,72,72
54,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,-1.2045,-125.2307,99.3000,157.50,0.00,0.00,-4.9000,-123.7000,99.3000,73,73
55,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,-8.1284,-126.7284,99.5000,45.00,0.00,0.00,-5.3000,-123.9000,99.5000,74,74
56,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,-8.1284,-120.6716,99.5000,-45.00,0.00,0.00,-5.3000,-123.5000,99.5000,75,75
57,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,-41.6879,-122.7310,77.5000,-22.50,0.00,0.00,-37.9000,-124.3000,77.5000,0,0
58,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,-27.8075,-119.4969,77.7000,-112.50,0.00,0.00,-29.3000,-123.1000,77.7000,2,2
59,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,-26.5656,-119.8643,77.5000,-112.50,0.00,0.00,-28.9000,-125.5000,77.5000,3,3
60,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,-23.6249,-121.5730,77.5000,-112.50,0.00,0.00,-25.5000,-126.1000,77.5000,4,4
61,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,-15.1281,-123.1281,77.5000,-135.00,0.00,0.00,-19.3000,-127.3000,77.5000,5,5
62,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,-13.3779,-123.7425,77.5000,-112.50,0.00,0.00,-15.1000,-127.9000,77.5000,6,6
63,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,-19.5000,-131.8000,77.5000,90.00,0.00,0.00,-19.5000,-127.5000,77.5000,7,7
64,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,-17.4221,-132.8575,77.5000,67.50,0.00,0.00,-15.7000,-128.7000,77.5000,8,8
65,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,-16.7874,-134.3052,77.5000,67.50,0.00,0.00,-14.3000,-128.3000,77.5000,9,9
66,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,7.6969,-138.1925,77.5000,22.50,0.00,0.00,11.3000,-136.7000,77.5000,10,10
67,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,24.8376,-126.7624,77.7000,-135.00,0.00,0.00,20.1000,-131.5000,77.7000,11,11
