device,device_type,region,order_index,reverse,raw_viewpoints,retained_viewpoints,retention_ratio,phase2_coverage_ratio,estimated_phase3_coverage_ratio,phase2_path_length_m,phase2_path_segment_success_ratio,entry_transition_length_m,intra_device_length_m,exit_transition_length_m
shelf3,shelf,region_shelf2_tube2_shelf3,0,False,76,56,0.7368421052631579,0.9653571428571428,0.7113157894736841,335.24508182077136,0.8266666666666667,66.39879047884696,335.69409423748215,44.51741488732229
tube2,tube,region_shelf2_tube2_shelf3,1,False,18,16,0.8888888888888888,0.29678571428571426,0.26380952380952377,187.9962087366426,1.0,44.51741488732229,187.131450337439,46.840964688540566
shelf2,shelf,region_shelf2_tube2_shelf3,2,False,220,164,0.7454545454545455,0.9771428571428571,0.7284155844155843,1611.762601784908,0.8721461187214612,46.840964688540566,1603.9024635382136,27.70966152731502
capacitor,capacitor,region_capacitor,3,False,25,20,0.8,0.2839285714285714,0.22714285714285715,95.13084087981917,1.0,27.70966152731502,94.5614622996195,37.279408767843954
main_transformer,transformer,region_main_transformer,4,True,75,61,0.8133333333333334,0.3989285714285714,0.32446190476190473,469.67032582007664,0.9864864864864865,37.279408767843954,468.0582117033783,23.347070826202845
shelf4,shelf,region_shelf1_tube1_shelf4,5,False,36,30,0.8333333333333334,0.8278571428571428,0.6898809523809525,148.34977808685318,0.9428571428571428,23.347070826202845,148.67772020243797,44.646633451487446
tube1,tube,region_shelf1_tube1_shelf4,6,False,29,23,0.7931034482758621,0.33464285714285713,0.2654064039408867,268.1899637802379,0.8571428571428571,44.646633451487446,267.14244499329124,53.098324001421275
shelf1,shelf,region_shelf1_tube1_shelf4,7,False,220,180,0.8181818181818182,0.9496428571428571,0.7769805194805195,1780.9843139034433,0.8401826484018264,53.098324001421275,1787.58830394108,0.0
