baseline_method,phase4_scenario,phase4_device_count,phase4_global_coverage_ratio_weighted,phase4_viewpoint_generation_time_total_s,phase4_path_planning_time_total_s,phase3_primary_scenario,phase3_ordering_strategy,phase3_region_order_match,phase3_strict_device_order_match,phase3_estimated_global_coverage_ratio,phase3_global_retention_ratio,phase3_path_length_smoothed_m,phase3_segment_success_ratio,phase3_trackability_smoothed,phase3_low_clearance_smoothed_ratio,phase3_runtime_s,phase3_summary_json
fc_planner_lite,constrained_projected,8,0.5420089285714286,0.09783590002916753,56.970878599910066,balanced,region_constrained,True,True,0.4031780367373301,0.75,1381.0213380588366,0.9367088607594937,11.140375417475493,0.9824561403508771,83.74325159995351,f:\FINAL\outputs\phase4_baselines\phase3_station_mission\fc_planner_lite\constrained_projected\phase3_station_mission_summary.json
fc_planner_lite,unconstrained_native,8,0.4585714285714286,0.062091799976769835,0.010449399938806891,balanced,region_constrained,True,True,0.4148365016463718,0.9208860759493671,1196.3821824575627,0.013745704467353952,14.553781100007996,0.9642857142857143,5.764606000040658,f:\FINAL\outputs\phase4_baselines\phase3_station_mission\fc_planner_lite\unconstrained_native\phase3_station_mission_summary.json
predrecon_lite,constrained_projected,8,0.1465625,0.08006620011292398,59.95689319999656,balanced,region_constrained,True,True,0.1465625,1.0,1361.0422472679365,0.5454545454545454,28.869707517503784,0.9090909090909091,101.09247440000763,f:\FINAL\outputs\phase4_baselines\phase3_station_mission\predrecon_lite\constrained_projected\phase3_station_mission_summary.json
predrecon_lite,unconstrained_native,8,0.06977678571428571,0.08107610000297427,0.000817099935375154,balanced,region_constrained,True,True,0.06977678571428571,1.0,1857.1026029493075,0.0,31.51179335660521,0.9,5.442365300026722,f:\FINAL\outputs\phase4_baselines\phase3_station_mission\predrecon_lite\unconstrained_native\phase3_station_mission_summary.json
