mission_waypoint_id,role,device,device_type,region,device_order_index,x,y,z,yaw_deg,pitch_deg,roll_deg,target_x,target_y,target_z,source_phase2_viewpoint_id,source_phase2_row_index
37,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,15.1974,-131.5069,82.1663,-154.66,0.00,0.00,13.1000,-132.5000,78.5000,18,18
38,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,14.2974,-131.5069,82.4663,-139.51,0.00,0.00,12.9000,-132.7000,78.7000,17,17
39,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,15.4974,-122.5069,81.5663,-110.56,0.00,0.00,13.1000,-128.9000,78.5000,16,16
40,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,19.9974,-122.5069,78.5663,-128.94,0.00,0.00,13.7000,-130.3000,75.3000,15,15
41,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,21.7974,-127.3069,76.7663,-153.83,0.00,0.00,15.3000,-130.5000,75.3000,14,14
42,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,25.0974,-137.8069,82.4663,-145.91,0.00,0.00,22.3000,-139.7000,79.1000,12,12
43,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,25.0974,-136.6069,81.5663,-149.29,0.00,0.00,20.9000,-139.1000,76.7000,10,10
44,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,35.8974,-130.6069,76.7663,-155.67,0.00,0.00,29.5000,-133.5000,77.7000,7,7
45,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,63.7974,-140.8069,76.7663,172.95,0.00,0.00,59.7000,-140.3000,75.3000,6,6
46,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,63.3545,-141.4909,77.1598,171.28,0.00,0.00,59.5000,-140.9000,77.1000,5,5
47,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,64.6974,-144.1069,77.3663,-167.33,0.00,0.00,58.5000,-145.5000,78.3000,4,4
48,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,63.4974,-143.2069,78.8663,-174.13,0.00,0.00,58.7000,-143.7000,78.7000,3,3
49,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,63.4974,-143.5069,81.2663,-173.23,0.00,0.00,58.5000,-144.1000,80.1000,2,2
50,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,-16.9026,-133.6069,76.7663,-1.07,0.00,0.00,-11.9000,-133.7000,74.7000,0,0
51,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,10.9974,-140.8069,76.7663,45.17,0.00,0.00,11.7000,-140.1000,75.3000,0,0
52,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,67.0974,-148.3069,76.7663,172.14,0.00,0.00,62.7000,-147.7000,75.3000,1,1
53,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,67.3974,-148.0069,80.6663,-178.91,0.00,0.00,62.5000,-148.1000,80.7000,2,2
54,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,65.6347,-148.9764,85.3459,170.25,0.00,0.00,61.7000,-148.3000,85.1000,3,3
55,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,65.5974,-148.3069,90.8663,171.58,0.00,0.00,61.5000,-147.7000,90.3000,4,4
56,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,65.2974,-148.6069,96.2663,172.77,0.00,0.00,61.3000,-148.1000,95.3000,5,5
57,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,18.1974,-140.5069,104.3663,169.32,0.00,0.00,17.1000,-140.3000,99.9000,6,6
58,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,18.7974,-144.4069,93.8663,145.44,0.00,0.00,16.9000,-143.1000,90.3000,7,7
59,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,21.7974,-147.4069,88.4663,136.52,0.00,0.00,18.1000,-143.9000,85.3000,8,8
60,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,25.0974,-136.6069,81.5663,-155.67,0.00,0.00,18.7000,-139.5000,79.7000,9,9
61,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,25.9974,-135.7069,81.2663,-143.35,0.00,0.00,20.9000,-139.5000,75.3000,10,10
62,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,20.8974,-138.1069,89.0663,-154.88,0.00,0.00,17.5000,-139.7000,85.3000,11,11
63,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,13.3974,-137.5069,89.6663,-100.57,0.00,0.00,13.1000,-139.1000,85.3000,12,12
64,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,12.4974,-137.5069,89.6663,-89.89,0.00,0.00,12.5000,-138.9000,85.1000,13,13
65,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,8.2974,-136.3069,89.3663,-47.60,0.00,0.00,10.3000,-138.5000,85.3000,14,14
66,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,11.5974,-140.8069,89.9663,45.24,0.00,0.00,12.1000,-140.3000,85.3000,15,15
67,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,10.9974,-141.4069,89.6663,55.37,0.00,0.00,11.9000,-140.1000,84.9000,16,16
68,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,12.4974,-140.5069,79.7663,57.56,0.00,0.00,13.9000,-138.3000,75.3000,17,17
69,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,13.0974,-143.8069,76.7663,75.36,0.00,0.00,13.7000,-141.5000,75.3000,18,18
70,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,9.1974,-139.9069,76.7663,30.73,0.00,0.00,11.9000,-138.3000,75.3000,21,21
71,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,8.2974,-139.0069,76.7663,21.55,0.00,0.00,11.1000,-137.9000,75.3000,22,22
72,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,-46.4514,-129.6516,101.3275,-9.81,0.00,0.00,-42.7000,-130.3000,100.1000,23,23
73,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,-46.6364,-129.8338,85.7475,-9.61,0.00,0.00,-42.7000,-130.5000,85.5000,26,26
