segment_id,start_wp_id,end_wp_id,mode,ok,length_m,path_node_count
0,0,1,astar,True,42.62168421799212,124
1,1,2,astar,True,3.672792206135779,12
2,2,3,astar,True,11.763961030678919,34
3,3,4,astar,True,2.648528137423856,9
4,4,5,astar,True,8.539011797183619,23
5,5,6,astar,True,5.743660623624889,14
6,6,7,fallback_direct,False,11.292918134831229,2
7,7,8,astar,True,15.314747728471707,46
8,8,9,astar,True,8.904430139083582,26
9,9,10,astar,True,13.704211451725849,37
10,10,11,astar,True,16.126770419148805,46
11,11,12,astar,True,19.089463723254166,61
12,12,13,astar,True,14.963057178537847,39
13,13,14,astar,True,4.828694207795489,12
14,14,15,astar,True,6.021320343559644,19
15,15,16,astar,True,6.767924692336803,17
16,16,17,astar,True,3.512022690677105,10
17,17,18,astar,True,36.89073144982775,109
18,18,19,astar,True,5.436286759389038,16
19,19,20,astar,True,1.6681433796945249,5
20,20,21,straight,True,4.17851648315524,2
21,21,22,astar,True,43.3500436540654,124
22,22,23,astar,True,15.842756771483815,42
23,23,24,astar,True,2.239230484541336,7
24,24,25,astar,True,2.6120226906771147,7
25,25,26,astar,True,4.983109795523932,15
26,26,27,astar,True,10.390264972402054,25
27,27,28,straight,True,2.2649503305812355,2
28,28,29,straight,True,2.99999999999999,2
29,29,30,straight,True,0.9000000000000004,2
30,30,31,astar,True,2.912022690677108,8
31,31,32,straight,True,1.0613589873365175,2
32,32,33,astar,True,1.6681433796945204,5
33,33,34,astar,True,3.3223402800652475,8
34,34,35,astar,True,4.660550828100957,13
35,35,36,astar,True,16.28732124724979,43
36,36,37,astar,True,1.7634945532532482,5
37,37,38,astar,True,1.0242640687119309,4
38,38,39,astar,True,23.977804907009542,63
39,39,40,astar,True,6.124045381354232,16
40,40,41,astar,True,6.570868417489093,18
41,41,42,astar,True,21.50399276436812,58
42,42,43,astar,True,1.5727922061357666,5
43,43,44,astar,True,28.85797097738115,75
44,44,45,astar,True,41.41898828290777,109
45,45,46,straight,True,0.9049080947809012,2
46,46,47,straight,True,2.947792167029406,2
47,47,48,astar,True,2.283109795523925,6
48,48,49,astar,True,2.524264068711939,9
49,49,50,fallback_direct,False,81.13211448002573,2
50,50,51,astar,True,35.930865786510125,110
51,51,52,astar,True,64.83746750430839,196
52,52,53,astar,True,4.368143379694527,14
53,53,54,astar,True,5.831637932947789,17
54,54,55,straight,True,5.560974527904254,2
55,55,56,astar,True,5.619615242270667,19
56,56,57,fallback_direct,False,48.47298216532587,2
57,57,58,astar,True,13.009078965524822,40
58,58,59,astar,True,7.596152422706638,19
59,59,60,astar,True,19.361352077248874,55
60,60,61,astar,True,1.3681433796945255,4
