device,device_type,region,order_index,reverse,raw_viewpoints,retained_viewpoints,retention_ratio,phase2_coverage_ratio,estimated_phase3_coverage_ratio,phase2_path_length_m,phase2_path_segment_success_ratio,entry_transition_length_m,intra_device_length_m,exit_transition_length_m
shelf3,shelf,region_shelf2_tube2_shelf3,0,True,21,17,0.8095238095238095,0.8603571428571428,0.6964795918367347,153.27096305082637,0.95,42.62168421799212,152.89351450446927,36.89073144982775
tube2,tube,region_shelf2_tube2_shelf3,1,True,44,33,0.75,0.4782142857142857,0.3586607142857143,353.7449851175874,0.9767441860465116,36.89073144982775,349.38347289932057,35.930865786510125
shelf2,shelf,region_shelf2_tube2_shelf3,2,False,29,25,0.8620689655172413,0.3678571428571429,0.31711822660098526,322.9331911149785,0.9285714285714286,35.930865786510125,322.85416210527666,12.329714144301077
capacitor,capacitor,region_capacitor,3,True,39,28,0.717948717948718,0.3325,0.23871794871794874,128.67624668443295,1.0,12.329714144301077,127.48601354682803,53.73681144223523
main_transformer,transformer,region_main_transformer,4,False,60,50,0.8333333333333334,0.3982142857142857,0.3318452380952381,304.43735614983416,0.9152542372881356,53.73681144223523,300.27113130903376,34.163858427685746
shelf4,shelf,region_shelf1_tube1_shelf4,5,True,41,23,0.5609756097560976,0.8646428571428572,0.4850435540069687,128.43198651251777,1.0,34.163858427685746,127.14257196305076,12.633809511662426
tube1,tube,region_shelf1_tube1_shelf4,6,False,53,37,0.6981132075471698,0.45107142857142857,0.3148989218328841,340.60547581981405,0.9615384615384616,12.633809511662426,339.024129740872,17.52792206135786
shelf1,shelf,region_shelf1_tube1_shelf4,7,True,29,24,0.8275862068965517,0.5832142857142857,0.48266009852216746,326.701126787454,0.8214285714285714,17.52792206135786,348.09107966918856,0.0
